publish_no,공시연도,자율의무,기업명,업종,사전점검수행,IT부문투자액,정보보호투자액,투자액비율BA,주요투자항목,총임직원,IT부문인력,정보보호전담인력,인력비율DC,CISO_CPO_지정현황,인증평가점검,이용자보호활동,투자특기사항,인력특기사항
4645,2026,자율,한국지역난방공사,"전기, 가스, 증기 및 공기 조절 공급업(35) - 증기, 냉·온수 및 공기조절 공급업",X,"27,687,267,487 원","5,041,334,413 원",18.2 %,공사 디지털 전환(DX) 추진중으로 정보기술부문(A) 투자액 확대,"2,217 명",67 명,내부인력 6 명 외주인력 9 명 계 15 명,22.3 %,[CISO] 직책 센터장 임원여부 X 겸직여부 X 주요활동(건) 0 건 [CPO] 직책 처장 임원여부 X 겸직여부 O / 주요활동(건) 0 건,"국정원 주관 사이버보안 관리실태 평가 산업부 주관 정보보안 감사 국정원 주관 기반시설 보호대책 이행여부 평가 산업부 주관 기반시설 보호대책 이행여부 평가 기반시설 제어시스템 취약점 분석,평가 분기별 사이버보안 진단의 날 점검",정보시스템 취약점 점검 및 모의해킹 주요정보통신기반시설 모의해킹 자체 해킹메일 대응 훈련 자체 전산망 침투 대응훈련 시행 국정원 주관 공공분야 사이버공격 대응훈련 참가 국정원 주관 기반시설 사이버공격 대응 실전훈련 참가 산업통상자원 사이버 위기대응 훈련 참가,,
4644,2026,의무,텐센트코리아 유한회사,정보통신업(58~63) - 유선 온라인 게임 소프트웨어 개발 및 공급업,X,,,,해당사항 없음 “특기사항” 참조,,,,,[CISO] 직책 Assistant Manager 임원여부 X 겸직여부 O / 정보보안제품관리자 주요활동(건) 0 건 [CPO] 직책 Director 임원여부 X 겸직여부 O / 사생활 및 개인정보보호 임원 주요활동(건) 0 건,"텐센트는 다음 각 사항을 포함하여 여러 정보보호 관련 인증을 받았습니다: - Korean Information Security Protection Management System (K-ISMS) - ISO 27001, 27701, 27017 - CSA STAR Certification","- 기존 및 신입 직원들에 대한 내부 개인정보보호 규정 준수 및 보안 교육, 지침 제공 - 텐센트의 국제 클라우드 서비스 제품에 대한 내부 정보보호 관련 평가를 수행하고 개인정보보호 규정 준수를 지원하기 위한 정보보호 및 보안 규정 준수 전문가 지정 - 개인정보를 처리하는 시스템 및 서비스의 지속적인 기밀성, 완전성, 이용가능성 및 복원성을 보장하고, 물리적 또는 기술적 사고 시 적시에 개인정보의 이용가능성 및 그에 대한 접속을 복구하며, 개인정보처리의 보안성을 보장하기 위한 기술적 및 조직적 조치들의 유효성을 정기적으로 시험 및 평가하기 위한 조치 등 해당 관할지역에서 적절하고 적용 가능한 바에 따른 적절한 기술 및 조직적 보안조치 시행 - 텐센트는 공식적인 사고 대응절차를 수립하였고, 보안사고 처리 담당 인원의 구체적인 책임 및 권한을 설정해 두고 있으며, 성격 및 중요도에 따라 정보보안사고를 구분하여 그 분류 및 단계를 지정함. 텐센트는 사고 예방을 위해 보안모니터링 시스템을 사용하고, 적시에 사고를 분석, 추적 기록 및 해결하기 위해 보안 취약성을 단계별로 분류함.","텐센트는 중국 본토 외 전세계에서 정보 보안 시스템을 공동으로 이용하고 있고, 이에 대하여 정보보호 향상을 위하여 글로벌 차원에서 투자를 하고 있습니다. 이를 위하여 텐센트의 글로벌 예산의 약 3.96% 를 한국 내 정보기술을 위한 예산으로 투자하고 있습니다 (중국 본토 제외). 한국 내 클라우드 서비스를 제공하기 위하여 텐센트는 정보 보안 시설에 대한 투자에 노력을 기울이고 있습니다.","텐센트 클라우드 인터내셔널의 글로벌 직원 수(중국 본토 제외)는 전년도 공시와 비교적 일관된 수준을 유지하고 있습니다(즉, 약 100명 이상)"
4643,2026,의무,유니퀘스트,도매 및 소매업(45~47) - 전기용 기계·장비 및 관련 기자재 도매업,X,"635,324,525 원","46,684,363 원",7.3 %,,209.6 명,2 명,내부인력 1 명 외주인력 0 명 계 1 명,50.0 %,[CISO] 직책 MIS실장 임원여부 O 겸직여부 O / 주요활동(건) 3 건 [CPO] 직책 임원여부 X 겸직여부 X 주요활동(건) 0 건,,불법 소프트웨어 검소 보안 소프트웨어 패치 검사 개인정보보호교육,,
4642,2026,의무,서울이동통신(주),정보통신업(58~63) - 시스템 소프트웨어 개발 및 공급업,X,"230,632,885 원",0 원,0.0 %,인건비 및 통신회선 이용료,9 명,4 명,내부인력 4 명 외주인력 0 명 계 4 명,100.0 %,[CISO] 직책 O 임원여부 O 겸직여부 X 주요활동(건) 0 건 [CPO] 직책 O 임원여부 O 겸직여부 X 주요활동(건) 0 건,,- 개인정보보호 임직원 교육 시행 - 개인정보관리계획 이행점검 - 개인정보파기 시행,,
4641,2026,의무,(주)케이지이니시스,정보통신업(58~63) - 응용 소프트웨어 개발 및 공급업,X,"7,991,970,747 원","1,321,133,953 원",16.5 %,,212 명,82 명,내부인력 3 명 외주인력 0 명 계 3 명,3.6 %,[CISO] 직책 실장 임원여부 X 겸직여부 X 주요활동(건) 0 건 [CPO] 직책 실장 임원여부 X 겸직여부 X 주요활동(건) 0 건,O PCI-DSS 인증 획득 O ISMS 인증 획득 O 전자금융기반시설 취약점 분석/평가 실시,"O 침해사고대응 모의훈련(스팸메일 등) O 재해복구대응 훈련 실시 O 정보보호위원회 실시(4회) O 홈페이지 취약점 진단(2회), 인프라취약점 진단(1회) O 정보보호의날 점검 실시(매월)",,
4640,2026,의무,화신정공,제조업(10~34) - 그 외 자동차용 신품 부품 제조업,X,"343,206,657 원","205,940,338 원",60.0 %,프로그램 및 콘텐츠 개발용 도구 S/W 구매 등,233 명,2 명,내부인력 0 명 외주인력 0 명 계 0 명,0.0 %,[CISO] 직책 O 임원여부 X 겸직여부 O / 주요활동(건) 0 건 [CPO] 직책 O 임원여부 X 겸직여부 O / 주요활동(건) 0 건,H-ISMS(현대차 보안감사) 인증,시스템 2차 인증 개인정보 암호화,"그룹사(화신) 쉐어드 서비스 이용 (연말, 쉐어드 서비스 비용 일괄 지급)",그룹사(화신) 기술지원 받기에 정보기술/정보보호 운영 외주비 중 정보보호 부문 비용을 분리 산정할 수 없음
4639,2026,의무,이노피아테크,제조업(10~34) - 방송장비 제조업,X,"81,918,625 원","69,471,600 원",84.8 %,,55 명,1 명,내부인력 1 명 외주인력 0 명 계 1 명,100.0 %,[CISO] 직책 상무 임원여부 X 겸직여부 O / 주요활동(건) 3 건 [CPO] 직책 연구소장 임원여부 O 겸직여부 O / 주요활동(건) 2 건,"1. 정보보호 기본직책 수립 및 인증획득 검토 1) 정보보호 정책 수립 2) 조직 구성(CISO 임명 등) 3) ISMS-P 인증 도입 검토(개인정보 보호 포함) 2. 보안점검 1) 내부 보안 점검(분기별) - 서버, 출입통제, 시스템 계정, 방화벽, 형상관리, 서버/백업 서버, 사내 네트워크 등 주요 시스템에 대한 점검 2) 보안 교육(매월) - 신규입사자 교육, 불법프로그램 예방교육, 업무 계정 보안 교육 등 정보보안 교육 실시 3. 정보보호 관련 문서화 등 1) 보안점검 활동 결과 및 이력 문서화 2) 정보보호 교육 이력 관리",1. 개인정보 보호조치 1) 개인정보 수집/이용/제공 시 동의 절차 준수 2) 보존기간 종료 후 폐기 2. 기술적/관리적 보안조치 1) 개인정보보안 교육 실시 2) 방화벽 운영 3) 접근 권한 관리 및 로그 기록 보관 3. 개인정보보호 조직 구성 1) CPO 임명 2) 개인정보보호 조직 및 담당자 지정,,
4638,2026,의무,이노그리드,정보통신업(58~63) - 시스템 소프트웨어 개발 및 공급업,X,"5,677,503,536 원","722,951,999 원",12.7 %,인건비,184 명,97 명,내부인력 10 명 외주인력 0 명 계 10 명,10.3 %,[CISO] 직책 COO 임원여부 O 겸직여부 O / 그룹장 주요활동(건) 0 건 [CPO] 직책 본부장 임원여부 O 겸직여부 O / 혁신기술지원본부장 주요활동(건) 0 건,-,사무환경 정보보호 점검 임직원 정보보호 교육,,
4637,2026,의무,(주)KCTV제주방송,정보통신업(58~63) - 유선 방송업,X,"2,922,532,394 원","95,587,245 원",3.3 %,알뜰폰 신분증 스캐너 시스템 운영 ISMS(정보보관리체계 인증 심사),129 명,18.9 명,내부인력 0.5 명 외주인력 0 명 계 0.5 명,2.6 %,[CISO] 직책 대표이사 임원여부 X 겸직여부 X 주요활동(건) 0 건 [CPO] 직책 기획관리국장 임원여부 X 겸직여부 X 주요활동(건) 0 건,ISMS(정보보호관리체계) 인증 심사,정보보호 정책 및 지침 수립 유지 및 관리 임직원 정보보안 교육 IT 재해복구 모의훈련 실시 스팸 메일 사례에 따른 경각심 제고 공지 개인정보 조회기록 점검 및 보고 (일 1회) 개인정보보호 책임배상보험 가입 정보유출방지 보안솔루션 운영 ISMS(정보보호관리체계) 인증 심사(26.01 인증 완료),,
4636,2026,의무,가이온,정보통신업(58~63) - 응용 소프트웨어 개발 및 공급업,X,"50,500,000 원","6,000,000 원",12.0 %,,28 명,0 명,내부인력 0 명 외주인력 0 명 계 0 명,0.0 %,[CISO] 직책 대표자 임원여부 O 겸직여부 O / 주요활동(건) 0 건 [CPO] 직책 - 임원여부 X 겸직여부 X 주요활동(건) 0 건,해당사항 없음,임직원 개인정보보호 교육 실시,,정보기술부분인력이 타 업무를 겸임하고있어 별도의 전담인력이 없음
