publish_no,no,공시연도,자율의무,기업명,업종,게시일,수정공시일
4645,3889,2026,자율,한국지역난방공사,"전기, 가스, 증기 및 공기 조절 공급업(35)",2026-07-06,
4644,3888,2026,의무,텐센트코리아 유한회사 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4643,3887,2026,의무,[수정] 유니퀘스트,도매 및 소매업(45~47),2026-06-30,2026-07-03
4642,3886,2026,의무,서울이동통신(주),정보통신업(58~63),2026-06-30,
4641,3885,2026,의무,(주)케이지이니시스,정보통신업(58~63),2026-06-30,
4640,3884,2026,의무,화신정공,제조업(10~34),2026-06-30,
4639,3883,2026,의무,이노피아테크,제조업(10~34),2026-06-30,
4638,3882,2026,의무,이노그리드,정보통신업(58~63),2026-06-30,
4637,3881,2026,의무,(주)KCTV제주방송,정보통신업(58~63),2026-06-30,
4636,3880,2026,의무,가이온,정보통신업(58~63),2026-06-30,
4625,3879,2026,의무,(주)퍼시스,제조업(10~34),2026-06-30,
4634,3878,2026,의무,[수정] (주)에이스침대,제조업(10~34),2026-06-30,2026-07-09
4635,3877,2026,의무,에스에프에이넥셀,제조업(10~34),2026-06-30,
4633,3876,2026,의무,아진산업,제조업(10~34),2026-06-30,
4538,3875,2026,의무,삼성이앤에이(주),건설업(41~42),2026-06-30,
3821,3874,2026,자율,충북대학교병원 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),보건업 및 사회복지 서비스업(86~87),2026-06-30,
4541,3873,2026,자율,나이스디앤비 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4632,3872,2026,자율,(주)우리은행 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),금융 및 보험업(64~66),2026-06-30,
4631,3871,2026,의무,에스케이텔레콤(주) 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4574,3870,2026,의무,(주) 엘지씨엔에스 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4629,3869,2026,의무,에스케이바이오팜(주),"전문, 과학 및 기술 서비스업(70~73)",2026-06-30,
4630,3868,2026,의무,TikTok Pte. Ltd.,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2026-06-30,
4628,3867,2026,의무,한국아이비엠(주),도매 및 소매업(45~47),2026-06-30,
4627,3866,2026,의무,레브잇,정보통신업(58~63),2026-06-30,
4624,3865,2026,의무,에스케이브로드밴드주식회사 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4626,3864,2026,의무,일성건설(주),건설업(41~42),2026-06-30,
4619,3863,2026,의무,(주)케이티씨에스,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2026-06-30,
4623,3862,2026,의무,[수정] 코스맥스(주),제조업(10~34),2026-06-30,2026-08-03
4534,3861,2026,의무,(주)아모레퍼시픽 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),제조업(10~34),2026-06-30,
4484,3860,2026,자율,에스케이바이오사이언스(주),제조업(10~34),2026-06-30,
4584,3859,2026,의무,(주)화신,제조업(10~34),2026-06-30,
4622,3858,2026,의무,주식회사 아모에스넷,정보통신업(58~63),2026-06-30,
4621,3857,2026,의무,현대엘리베이터(주),제조업(10~34),2026-06-30,
4620,3856,2026,의무,한온시스템(주),제조업(10~34),2026-06-30,
4618,3855,2026,의무,씨제이올리브영㈜ 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),도매 및 소매업(45~47),2026-06-30,
4615,3854,2026,의무,(주)삼원강재,제조업(10~34),2026-06-30,
4616,3853,2026,의무,두산테스나,"전문, 과학 및 기술 서비스업(70~73)",2026-06-30,
4617,3852,2026,의무,(주)딜라이브경기동부케이블티브이,정보통신업(58~63),2026-06-30,
4613,3851,2026,의무,에스에프에이,제조업(10~34),2026-06-30,
