기업,연도,자율의무,업종,총임직원,IT투자,보안투자,투자비율,IT인력,전담내부,전담외주,전담계,인력비율,외주의존,CISO임원,CISO겸직,CISO활동건수,수정공시,publish_no
폴라리스오피스,2022,자율,정보통신업(58~63),141.0,7071143081.0,155463381.0,2.1985608156865974,91.7,1.0,0.3,1.3,1.4176663031624863,23.076923076923077,O,O,3.0,False,1089
테크빌교육,2016,자율,정보통신업(58~63),102.0,1611476040.0,131689579.0,8.17198492135198,22.0,2.0,0.0,2.0,9.090909090909092,0.0,X,X,0.0,False,1102
테크빌교육,2017,자율,정보통신업(58~63),83.3,1842953987.0,97426054.0,5.2864072943346905,24.2,1.0,0.0,1.0,4.132231404958678,0.0,X,X,0.0,False,1103
테크빌교육,2018,자율,정보통신업(58~63),90.8,1905985773.0,140302959.0,7.361175565291064,29.8,2.2,0.0,2.2,7.38255033557047,0.0,X,X,0.0,False,1104
케이티,2017,자율,정보통신업(58~63),23504.1,2062350000000.0,91004072406.0,4.412639581351371,4756.2,219.8,32.3,252.0,5.298347420209411,12.817460317460316,X,X,0.0,False,1105
케이티,2018,자율,정보통신업(58~63),23695.9,2090000000000.0,97337756353.0,4.657308916411483,4852.5,237.9,36.7,274.6,5.658938691396187,13.36489439184268,X,X,0.0,False,1106
LG유플러스,2017,자율,정보통신업(58~63),8181.0,545000000000.0,18702157642.0,3.4315885581651377,2037.1,26.8,54.3,81.1,3.9811496735555445,66.95437731196054,X,X,0.0,False,1107
LG유플러스,2018,자율,정보통신업(58~63),8832.7,591000000000.0,18060106555.0,3.0558555930626055,2187.8,25.4,45.3,70.8,3.236127616783983,63.983050847457626,X,X,0.0,False,1108
에스케이텔레콤,2017,자율,정보통신업(58~63),4408.1,1240000000000.0,43442678961.0,3.5034418516935486,1941.3,36.0,133.3,169.3,8.720960181321795,78.7359716479622,X,X,0.0,False,1109
에스케이텔레콤,2018,자율,정보통신업(58~63),4583.9,1300000000000.0,47422070535.0,3.6478515796153848,1845.3,37.0,126.7,163.7,8.871186256977184,77.39767868051314,X,X,0.0,False,1110
에스케이브로드밴드,2017,자율,정보통신업(58~63),1802.6,280000000000.0,9542471369.0,3.4080254889285713,1879.8,22.0,66.4,88.4,4.702627939142463,75.1131221719457,X,X,0.0,False,1111
에스케이브로드밴드,2018,자율,정보통신업(58~63),1725.8,308000000000.0,12219541049.0,3.9673834574675326,1839.7,25.4,73.9,99.3,5.397619177039735,74.4209466263847,X,X,0.0,False,1112
